,mean_inflow,med_inflow,max_inflow,std_inflow,pk_vol_inflow,mean_outflow,med_outflow,max_outflow,std_outflow,pk_vol_outflow,max_storage,train,val,test
63,14.283823,10.252,256.265,12.37053,126330330.0,14.236025,8.948,75.606,15.311355,179286450.0,246.101,0.7031209144476048,0.7503119363102568,0.7579146248652683
7313,139.123,109.371,1000.421,110.96651,1418044800.0,139.11346,116.854,728.308,75.96067,969682940.0,2515.053,0.791577181312032,0.7083771296738043,0.8042130493950042
7318,356.90485,270.0575,3105.107,273.03705,2743033900.0,356.8527,270.425,3120.879,272.35742,2881878000.0,437.936,0.9593402246021048,0.9525565827169096,0.9296707007019258
753,621.2227,509.703,5380.201,436.49445,4899104300.0,587.6523,538.02,4264.517,318.449,3311143700.0,29602.287,0.3889716184183698,0.0304160344173103,0.3038875768672989
780,3.2593346,0.404,404.435,13.565438,86353784.0,3.4287083,0.351,51.176,7.5128155,87654560.0,274.555,0.8125427397253746,0.6409108153791903,0.2610943285354081
784,0.70961195,0.022,115.762,3.730499,22354100.0,0.725327,0.048,86.225,3.4550087,19945110.0,14.21,0.9221564666127484,0.8206248421710938,0.5826080678768696
798,3.0934885,0.577,443.73,15.160142,77284860.0,3.1795573,0.7755,109.739,9.985262,79326376.0,177.952,0.9486925312841392,0.9666112316293148,0.4557474310705782
837,3.0503037,0.643,600.441,15.168179,58488670.0,3.1509526,0.991,133.267,9.576539,59400290.0,301.46,0.949072466486388,0.8392623484773798,0.1413624775223876
870,697.574,594.654,5946.538,422.83582,4004687000.0,665.7683,614.476,4539.191,420.6579,3340950500.0,28330.568,0.3676988434391455,0.2755921374562869,0.5761199147524534
872,0.5223858,0.0,146.733,4.2661114,24778024.0,0.5834452,0.0,30.763,1.7990053,12852061.0,265.319,0.3050936259575986,0.1921619078113504,0.0027044335350731
882,1.5981499,1.041,28.57,1.9171185,17472938.0,1.673475,1.08,14.557,1.9617418,20850486.0,79.246,0.7976029831419484,0.7646066433820816,0.4405796335735084
884,650.4179,594.654,5521.785,409.9815,3198591700.0,674.1852,639.961,4709.092,447.5738,2373453600.0,2247.401,0.5816652950394507,0.6920761245284438,0.7035630830830514
885,0.45176324,0.365,5.35,0.3369798,3574915.0,0.4600929,0.368,2.827,0.38170666,4699868.0,19.929,0.6151961847191294,0.6181269287063329,0.3141386605292078
893,2.9476829,1.062,503.158,10.234553,57559180.0,3.257871,0.149,407.678,11.049722,59893588.0,171.159,0.698632675489794,0.5745854347153289,0.2705668763356876
895,776.38,707.921,4757.23,459.44083,4536664600.0,772.80304,707.921,4550.517,452.44846,4506296300.0,603.172,0.965395354660742,0.7263943835962353,0.965952072328921
898,45.242435,30.724,323.066,38.411976,418104060.0,43.803665,1.048,289.228,61.967934,477197300.0,914.58,0.8365735163339655,0.8502837160354612,0.8504949081670501
920,41.242645,43.414497,63.482,17.920595,0.0,41.450428,44.428,68.911,17.602955,0.0,8.261,0.9725706252207555,0.9598757869984084,0.778743746171136
938,1.4171401,1.1765001,248.766,5.622516,8847775.0,1.4188118,0.17,29.166,2.1864085,23630448.0,63.102,0.550391816383556,0.3510022175602425,0.249013751172778
939,0.43104503,0.299,201.353,4.1945243,5276624.5,0.40588227,0.113,9.911,0.79406375,8200666.5,49.077,0.5461479884713633,-0.2147957226981258,-3.62173849354041
953,0.10639613,0.022,61.85,1.7750725,4201859.0,0.102357976,0.024,3.681,0.41721746,3941071.2,50.449,0.2427132831879657,0.000126786469496,0.0594964981417813
958,0.21592835,0.159,143.03,3.0573995,3043198.8,0.2826996,0.177,3.758,0.31557694,2714853.8,57.357,0.0229903700096691,-0.0771567632843472,-0.2364915660233946
